FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,Traveller_Need,Available
130,Rosins Lookout,Park or reserve,Beechmont,QLD,-28.10946075,153.2135541,24-hour access,TRUE
130,Rosins Lookout,Park or reserve,Beechmont,QLD,-28.10946075,153.2135541,Accessible access,TRUE
132,Yellow Pinch Camping Reserve,Park or reserve,Mount Barney,QLD,-28.25458044,152.7475182,Accessible access,TRUE
133,Logan Village Community Centre,Community building,Logan Village,QLD,-27.76768672,153.1051244,24-hour access,TRUE
133,Logan Village Community Centre,Community building,Logan Village,QLD,-27.76768672,153.1051244,Accessible access,TRUE
134,Flanagan Camping Reserve,Park or reserve,Barney View,QLD,-28.21337191,152.7652437,Accessible access,TRUE
134,Flanagan Camping Reserve,Park or reserve,Barney View,QLD,-28.21337191,152.7652437,Caravan support,TRUE
137,Kooralbyn,Park or reserve,Kooralbyn,QLD,-28.08623723,152.8440441,Accessible access,TRUE
138,Greenbank Community Centre,Community building,Greenbank,QLD,-27.72927597,152.9831434,24-hour access,TRUE
138,Greenbank Community Centre,Community building,Greenbank,QLD,-27.72927597,152.9831434,Accessible access,TRUE
139,Middle Park,Park or reserve,Tamborine,QLD,-27.87974128,153.1306855,24-hour access,TRUE
139,Middle Park,Park or reserve,Tamborine,QLD,-27.87974128,153.1306855,Accessible access,TRUE
140,Everdell,Sporting facility,Veresdale,QLD,-27.93873083,152.9831959,Accessible access,TRUE
141,Moriarty Park,Sporting facility,Canungra,QLD,-28.01907655,153.1594418,Accessible access,TRUE
143,Merv and Ollie Musch Park,Sporting facility,Logan Village,QLD,-27.76355961,153.1171135,Accessible access,TRUE
144,Dapsang Drive Park,Park or reserve,Tamborine Mountain,QLD,-27.92600588,153.1937362,Accessible access,TRUE
145,Lions Park,Park or reserve,Beaudesert,QLD,-27.99199863,152.99321878,Accessible access,TRUE
146,Junior Chamber Park,Park or reserve,Beaudesert,QLD,-27.99478787,153.0183437,24-hour access,TRUE
146,Junior Chamber Park,Park or reserve,Beaudesert,QLD,-27.99478787,153.0183437,Accessible access,TRUE
148,Rathdowney Memorial Grounds,Sporting facility,Rathdowney,QLD,-28.21210377,152.8642119,24-hour access,TRUE
148,Rathdowney Memorial Grounds,Sporting facility,Rathdowney,QLD,-28.21210377,152.8642119,Accessible access,TRUE
148,Rathdowney Memorial Grounds,Sporting facility,Rathdowney,QLD,-28.21210377,152.8642119,Caravan support,TRUE
149,Brushwood Park,Park or reserve,Cedar Grove,QLD,-27.85942799,152.9789596,Accessible access,TRUE
149,Brushwood Park,Park or reserve,Cedar Grove,QLD,-27.85942799,152.9789596,Caravan support,TRUE
150,Rotary Park,Park or reserve,Jimboomba,QLD,-27.83050882,153.0242053,24-hour access,TRUE
150,Rotary Park,Park or reserve,Jimboomba,QLD,-27.83050882,153.0242053,Accessible access,TRUE
151,Mount Tamborine Botanic Gardens,Park or reserve,Tamborine Mountain,QLD,-27.9154251,153.2035672,Accessible access,TRUE
153,Dick Westermann Park,Park or reserve,Beaudesert,QLD,-27.96867291,152.9945477,24-hour access,TRUE
153,Dick Westermann Park,Park or reserve,Beaudesert,QLD,-27.96867291,152.9945477,Accessible access,TRUE
154,Argyle Road Park,Park or reserve,Greenbank,QLD,-27.72697127,152.9625756,24-hour access,TRUE
154,Argyle Road Park,Park or reserve,Greenbank,QLD,-27.72697127,152.9625756,Accessible access,TRUE
155,Thorndon Park,Park or reserve,Paradise,SA,-34.87507079,138.6899417,Accessible access,TRUE
156,Jenkins Avenue Reserve,Sporting facility,Rostrevor,SA,-34.89568009,138.6854855,24-hour access,TRUE
157,The Gums Reserve,Park or reserve,Tranmere,SA,-34.90790107,138.6649328,Accessible access,TRUE
157,The Gums Reserve,Park or reserve,Tranmere,SA,-34.90790107,138.6649328,Family support,TRUE
157,The Gums Reserve,Park or reserve,Tranmere,SA,-34.90790107,138.6649328,Caravan support,TRUE
158,Lovell Reserve,Park or reserve,Athelstone,SA,-34.86803129,138.70388163,24-hour access,TRUE
159,Fox Field Oval,Sporting facility,Athelstone,SA,-34.88076346,138.70089971,Accessible access,TRUE
160,Shirley Avenue Reserve,Park or reserve,Tranmere,SA,-34.89743582,138.66422811,24-hour access,TRUE
161,Max Amber Sports Field,Sporting facility,Athelstone,SA,-34.86938285,138.6930624,24-hour access,TRUE
162,Etheridge Shire Hall,Other,Georgetown,QLD,-18.29279177,143.5496957,24-hour access,TRUE
163,Heritage Park,Park or reserve,Georgetown,QLD,-18.29188807,143.5477345,24-hour access,TRUE
163,Heritage Park,Park or reserve,Georgetown,QLD,-18.29188807,143.5477345,Accessible access,TRUE
163,Heritage Park,Park or reserve,Georgetown,QLD,-18.29188807,143.5477345,Family support,TRUE
163,Heritage Park,Park or reserve,Georgetown,QLD,-18.29188807,143.5477345,Caravan support,TRUE
164,Einasleigh,Park or reserve,Einasleigh,QLD,-18.51193658,144.0938149,24-hour access,TRUE
164,Einasleigh,Park or reserve,Einasleigh,QLD,-18.51193658,144.0938149,Accessible access,TRUE
164,Einasleigh,Park or reserve,Einasleigh,QLD,-18.51193658,144.0938149,Caravan support,TRUE
167,Lions Park,Park or reserve,Tom Price,WA,-22.68820954,117.7922808,Accessible access,TRUE
168,Clem Thompson Memorial Oval,Sporting facility,Tom Price,WA,-22.6945925,117.7986638,Accessible access,TRUE
171,Area W - Minna Oval,Sporting facility,Tom Price,WA,-22.68227355,117.78177401,24-hour access,TRUE
171,Area W - Minna Oval,Sporting facility,Tom Price,WA,-22.68227355,117.78177401,Caravan support,TRUE
172,Shopping Centre,Shopping centre,Paraburdoo,WA,-23.20013251,117.671459,24-hour access,TRUE
172,Shopping Centre,Shopping centre,Paraburdoo,WA,-23.20013251,117.671459,Accessible access,TRUE
174,Peter Sutherland Oval,Sporting facility,Paraburdoo,WA,-23.19729563,117.6699297,Accessible access,TRUE
177,EN Jones,Other,Narembeen,WA,-32.0655575,118.3945161,24-hour access,TRUE
177,EN Jones,Other,Narembeen,WA,-32.0655575,118.3945161,Accessible access,TRUE
178,Apex Park,Park or reserve,Narembeen,WA,-32.06407649,118.39591,24-hour access,TRUE
178,Apex Park,Park or reserve,Narembeen,WA,-32.06407649,118.39591,Accessible access,TRUE
178,Apex Park,Park or reserve,Narembeen,WA,-32.06407649,118.39591,Family support,TRUE
178,Apex Park,Park or reserve,Narembeen,WA,-32.06407649,118.39591,Caravan support,TRUE
182,Town Beach,Beach,Broome,WA,-17.96864677,122.23654967,Accessible access,TRUE
182,Town Beach,Beach,Broome,WA,-17.96864677,122.23654967,Family support,TRUE
182,Town Beach,Beach,Broome,WA,-17.96864677,122.23654967,Caravan support,TRUE
183,Cable Beach,Beach,Cable Beach,WA,-17.9303073,122.21032356,Accessible access,TRUE
183,Cable Beach,Beach,Cable Beach,WA,-17.9303073,122.21032356,Family support,TRUE
183,Cable Beach,Beach,Cable Beach,WA,-17.9303073,122.21032356,Caravan support,TRUE
184,Gantheaume Point,Park or reserve,Minyirr,WA,-17.97509088,122.17857921,24-hour access,TRUE
185,Adventure Bay Community Hall,Community building,Adventure Bay,TAS,-43.36176484,147.32866524,24-hour access,TRUE
185,Adventure Bay Community Hall,Community building,Adventure Bay,TAS,-43.36176484,147.32866524,Accessible access,TRUE
186,Alonnah Service Centre,Other,Alonnah,TAS,-43.31598855,147.24314642,24-hour access,TRUE
186,Alonnah Service Centre,Other,Alonnah,TAS,-43.31598855,147.24314642,Accessible access,TRUE
186,Alonnah Service Centre,Other,Alonnah,TAS,-43.31598855,147.24314642,Caravan support,TRUE
187,Blackmans Bay Foreshore,Park or reserve,Blackmans Bay,TAS,-43.00264749,147.32473817,Accessible access,TRUE
187,Blackmans Bay Foreshore,Park or reserve,Blackmans Bay,TAS,-43.00264749,147.32473817,Family support,TRUE
188,Browns River,Park or reserve,Bonnet Hill,TAS,-42.97693186,147.32860651,24-hour access,TRUE
188,Browns River,Park or reserve,Bonnet Hill,TAS,-42.97693186,147.32860651,Accessible access,TRUE
188,Browns River,Park or reserve,Bonnet Hill,TAS,-42.97693186,147.32860651,Family support,TRUE
188,Browns River,Park or reserve,Bonnet Hill,TAS,-42.97693186,147.32860651,Caravan support,TRUE
189,Coningham Beach,Beach,Coningham,TAS,-43.07755405,147.28102302,24-hour access,TRUE
189,Coningham Beach,Beach,Coningham,TAS,-43.07755405,147.28102302,Accessible access,TRUE
