FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
2426,Front Beach,Beach,Bowen,QLD,-20.01606195,148.25032868,OPEN: Daylight hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2427,Town Square,Other,Bowen,QLD,-20.01271472,148.24620279,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2428,Mullers Lagoon,Park or reserve,Bowen,QLD,-20.00106077,148.24313176,OPEN: Variable hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2434,Stanley Street,Other,Collinsville,QLD,-20.55342638,147.84442231,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2435,Conway Street,Park or reserve,Collinsville,QLD,-20.55316512,147.8459848,OPEN: 24 hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2436,Cook Street/Cobb Highway,Park or reserve,Ivanhoe,NSW,-32.89847651,144.29972961000001,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2437,Yartla Street,Other,Menindee,NSW,-32.39165329,142.4195113,OPEN: Daylight hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2439,Barrier Highway,Other,Wilcannia,NSW,-31.5568158,143.3754544,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2440,White Cliffs,Other,White Cliffs,NSW,-30.8491209,143.0890649,OPEN: Daylight hours,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2442,"Winifred West Park, Mittagong",Park or reserve,Mittagong,NSW,-34.45125082,150.44907883,OPEN: Daylight hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2443,"Lake Alexandra Reserve, Mittagong #1",Park or reserve,Mittagong,NSW,-34.44751145,150.44655358,OPEN: 7am-7pm,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
